SNID,oid,sep_arcsec
00088181-62f9-458a-8e23-aa9ed255172d,313871013522702425,0.24903311384602653
054e5a47-80cf-4d4e-a419-2fc1345333ed,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
054dc9a7-265c-4dd8-943f-baae5d251d38,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05637205-6896-41ef-afce-bdee88f37308,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05668a05-9956-4ce9-b693-1f2c3ad7726e,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
056702c6-3975-4248-83fc-d419a600333c,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
056d525d-4887-4929-9f59-65acf4a3dde8,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
056fe5f4-a676-4ada-b4bf-6a60dbc00159,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
057004f0-69a6-4272-af03-7712ee007f31,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05713f7b-2579-475d-a188-ea41ea0bdd47,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0572e2d4-34f0-4900-9f5b-b9590a88d944,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0573ec97-1837-4142-93d6-19a0690e2206,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05749ed0-a9fd-43f8-8793-be8ce2893a46,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
0576b7de-683b-4dd0-8b32-6eafb63ff5b0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05781b6b-5261-41bf-9761-5de3e7b01e16,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05797723-e64f-49c6-ab9b-2a1a7828bfa6,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
057832a3-ccc2-402f-931e-4c000407fd93,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
057aab0e-7bf9-4ba2-b47e-fbee0386ea66,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
057eefc2-3b51-44bc-81b5-ffad9cb88d6b,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05848160-2d51-4594-ad00-b57b21eea9c0,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05882836-825b-4881-89b6-c81a9445e099,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
05888454-11ba-4cc1-9730-bb11ea4d5b5f,,,"ERROR: {'Error code': 429, 'Message': 'Unknown API error.', 'Data': 'Unknown API error.'}"
